"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Austin County","2024-12-01","30","0.42860","10520769","0.58290","350692","274645","158","6.14"
"Austin County","2024-11-01","15","-0.51610","4318892","-0.67040","287926","260000","175","7"
"Austin County","2024-10-01","20","-0.31030","5573453","-0.37160","278672","278160","177","6.72"
"Austin County","2024-09-01","20","0.11110","9895576","0.87080","494778","449000","151","5.58"
"Austin County","2024-08-01","30","-0.30230","11404023","-0.18390","380134","308271","143","5.31"
"Austin County","2024-07-01","29","-0.38300","9570880","-0.36870","330030","290005","142","5.07"
"Austin County","2024-06-01","26","-0.38100","9265516","-0.38580","356366","285995","126","4.27"
"Austin County","2024-05-01","34","-0.02860","11116142","-0.20360","326945","288995","134","4.35"
"Austin County","2024-04-01","24","-0.27270","8163969","-0.37030","340165","282037","120","3.88"
"Austin County","2024-03-01","37","-0.11900","12646363","-0.20930","341793","284990","109","3.44"
"Austin County","2024-02-01","25","0.38890","8202771","0.24530","328110","288000","107","3.34"
"Austin County","2024-01-01","19","0.26670","4872060","-0.01740","256424","266990","112","3.56"
"Austin County","2023-12-01","21","-0.08700","6646622","-0.19690","316505","282500","120","3.85"
"Austin County","2023-11-01","31","0.82350","13104061","0.87000","422711","277000","129","4.12"
"Austin County","2023-10-01","29","0.81250","8869403","0.52340","305841","295000","125","4.14"
"Austin County","2023-09-01","18","-0.18180","5289542","-0.27310","293863","255995","125","4.3"
"Austin County","2023-08-01","43","0.04880","13973425","0.12920","324963","300000","127","4.32"
"Austin County","2023-07-01","47","0.56670","15160876","0.38660","322571","299000","129","4.41"
"Austin County","2023-06-01","42","0.16670","15085821","0.20630","359186","296370","126","4.53"
"Austin County","2023-05-01","35","-0.16670","13958013","-0.05160","398800","310990","144","5.27"
"Austin County","2023-04-01","33","-0.28260","12964135","-0.24280","392852","325000","121","4.33"
"Austin County","2023-03-01","42","0.35480","15994484","0.46740","380821","303723","136","4.69"
"Austin County","2023-02-01","18","-0.33330","6587045","-0.34060","365946","351200","139","4.95"
"Austin County","2023-01-01","15","-0.40000","4958567","-0.44150","330571","300000","128","4.44"
"Austin County","2022-12-01","23","0.04550","8276242","0.23250","359836","349000","143","4.82"
"Austin County","2022-11-01","17","-0.29170","7007706","0.04080","412218","334716","134","4.53"
"Austin County","2022-10-01","16","-0.42860","5822100","-0.41000","363881","343750","140","4.64"
"Austin County","2022-09-01","22","-0.21430","7276877","-0.16610","330767","308000","119","3.82"
"Austin County","2022-08-01","41","0.36670","12374600","0.28270","301819","279000","116","3.66"
"Austin County","2022-07-01","30","0.11110","10933500","0.23550","364450","341000","125","4.07"
"Austin County","2022-06-01","36","0.09090","12505700","0.05390","347380","349094","105","3.44"
"Austin County","2022-05-01","42","1.47060","14716967","2.15650","350403","341800","94","3.11"
"Austin County","2022-04-01","46","0.91670","17121185","1.85820","372199","331800","73","2.59"
"Austin County","2022-03-01","31","0.10710","10899656","0.30360","351601","324042","73","2.77"
"Austin County","2022-02-01","27","4.40000","9989173","9.42600","369969","318600","90","3.45"
"Austin County","2022-01-01","25","0.56250","8878171","0.69060","355126","325120","90","3.71"
"Austin County","2021-12-01","22","0.15790","6714741","0.05250","305215","317500","84","3.57"
"Austin County","2021-11-01","24","-0.22580","6732969","-0.21970","280540","248950","82","3.53"
"Austin County","2021-10-01","28","0.07690","9868250","0.29610","352437","315000","80","3.36"
"Austin County","2021-09-01","28","-0.03450","8726065","0.09190","311645","289995","74","3.13"
"Austin County","2021-08-01","30","0.03450","9647633","0.35480","321587","309193","70","2.95"
"Austin County","2021-07-01","27","0.28570","8849528","0.27010","327760","294900","67","2.83"
"Austin County","2021-06-01","33","0.10000","11866311","0.57260","359585","280000","51","2.2"
"Austin County","2021-05-01","17","-0.32000","4662464","-0.21640","274262","264500","58","2.53"
"Austin County","2021-04-01","24","0.00000","5990220","-0.06430","249592","258750","62","2.63"
"Austin County","2021-03-01","28","0.00000","8360950","0.44100","298605","262500","64","2.71"
"Austin County","2021-02-01","5","-0.58330","958100","-0.63460","191620","87000","59","2.5"
"Austin County","2021-01-01","16","0.33330","5251500","1.13330","328218","280000","66","2.73"
"Austin County","2020-12-01","19","0.26670","6379500","1.09580","335763","315000","71","2.98"
"Austin County","2020-11-01","31","0.55000","8628900","1.03920","278351","280000","78","3.32"
"Austin County","2020-10-01","26","0.08330","7613800","0.32380","292838","224000","73","3.23"
"Austin County","2020-09-01","29","0.38100","7991450","0.30280","275567","235000","77","3.43"
"Austin County","2020-08-01","29","0.11540","7121153","0.10620","245557","260371","80","3.68"
"Austin County","2020-07-01","21","-0.22220","6967604","0.31200","331790","290569","91","4.23"
"Austin County","2020-06-01","30","0.25000","7545844","0.29710","251528","192000","110","5"
"Austin County","2020-05-01","25","-0.13790","5950000","-0.16200","238000","197000","118","5.49"
"Austin County","2020-04-01","24","-0.11110","6401850","0.02200","266743","255000","125","5.73"
"Austin County","2020-03-01","28","1.15380","5802000","0.80770","207214","195000","130","5.89"
"Austin County","2020-02-01","12","-0.36840","2622000","-0.36700","218500","192500","127","6.1"
"Austin County","2020-01-01","12","-0.40000","2461641","-0.42530","205136","214950","120","5.6"
"Austin County","2019-12-01","15","-0.25000","3043900","-0.30360","202926","205000","123","5.57"
"Austin County","2019-11-01","20","0.00000","4231500","0.44620","211575","198000","138","6.13"
"Austin County","2019-10-01","24","0.14290","5751287","0.30740","239636","210000","132","5.87"
"Austin County","2019-09-01","21","-0.19230","6133900","0.19500","292090","312000","146","6.56"
"Austin County","2019-08-01","26","-0.18750","6437500","-0.18200","247596","237500","152","6.71"
"Austin County","2019-07-01","27","0.22730","5310691","0.13730","196692","192041","167","7.21"
"Austin County","2019-06-01","24","-0.33330","5817500","-0.10040","242395","201750","162","7.12"
"Austin County","2019-05-01","29","0.16000","7100338","0.33840","244839","240000","144","6.06"
"Austin County","2019-04-01","27","0.68750","6264050","0.81960","232001","199000","137","5.85"
"Austin County","2019-03-01","13","-0.40910","3209550","-0.25380","246888","227000","148","6.58"
"Austin County","2019-02-01","19","0.46150","4142450","0.61730","218023","192000","124","5.33"
"Austin County","2019-01-01","20","0.05260","4283500","-0.14230","214175","205000","131","5.76"
"Austin County","2018-12-01","20","-0.41180","4370750","-0.37650","218537","223250","127","5.6"
