"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Collin County","2024-12-01","1323","0.13370","740329976","0.11110","559584","490000","3872","2.87"
"Collin County","2024-11-01","1289","0.25150","735516581","0.30470","570610","475000","4489","3.36"
"Collin County","2024-10-01","1329","0.13780","744493403","0.12560","560190","488900","4717","3.59"
"Collin County","2024-09-01","1312","0.10900","721874144","0.06720","550208","479000","4723","3.63"
"Collin County","2024-08-01","1447","0.00910","839709580","-0.01650","580310","505000","4864","3.77"
"Collin County","2024-07-01","1474","0.04320","854513959","0.02910","579724","495000","4746","3.68"
"Collin County","2024-06-01","1474","-0.06170","876746375","-0.08630","594807","510000","4548","3.54"
"Collin County","2024-05-01","1642","0.03600","962047584","0.02530","585899","510000","4087","3.16"
"Collin County","2024-04-01","1456","0.11490","817309643","0.07210","561339","499700","3612","2.81"
"Collin County","2024-03-01","1329","-0.06540","771255928","-0.04920","580328","490000","3184","2.5"
"Collin County","2024-02-01","1154","-0.00430","633579999","-0.01160","549029","485000","2774","2.16"
"Collin County","2024-01-01","949","0.21670","506793712","0.12920","534029","479990","2622","2.04"
"Collin County","2023-12-01","1167","0.06870","666305288","0.10530","570955","478000","2494","1.97"
"Collin County","2023-11-01","1030","0.14570","563737922","0.08980","547318","475000","3014","2.39"
"Collin County","2023-10-01","1168","0.09060","661437838","0.09920","566299","495500","3187","2.55"
"Collin County","2023-09-01","1183","-0.05590","676401441","-0.07080","571767","500000","3046","2.45"
"Collin County","2023-08-01","1434","0.01850","853757684","-0.00390","595367","516250","3083","2.47"
"Collin County","2023-07-01","1413","0.03670","830336752","0.01610","587641","513000","2870","2.3"
"Collin County","2023-06-01","1571","0.00710","959526634","-0.04110","610774","540000","2797","2.25"
"Collin County","2023-05-01","1585","0.06730","938343431","-0.02050","592014","525000","2336","1.88"
"Collin County","2023-04-01","1306","-0.03190","762356465","-0.08360","583733","520000","2145","1.74"
"Collin County","2023-03-01","1422","0.09380","811142175","0.02710","570423","500000","2122","1.72"
"Collin County","2023-02-01","1159","0.22650","641031004","0.22940","553089","487000","1983","1.62"
"Collin County","2023-01-01","780","-0.15130","448816012","-0.08250","575405","505000","2300","1.9"
"Collin County","2022-12-01","1092","-0.20870","602839527","-0.15640","552050","490500","2530","2.07"
"Collin County","2022-11-01","899","-0.32660","517291374","-0.22560","575407","499000","3004","2.41"
"Collin County","2022-10-01","1071","-0.28020","601736685","-0.20790","561845","500000","3072","2.4"
"Collin County","2022-09-01","1253","-0.22700","727946718","-0.10380","580963","517040","3077","2.34"
"Collin County","2022-08-01","1408","-0.18800","857059196","-0.03470","608706","525000","3069","2.28"
"Collin County","2022-07-01","1363","-0.25760","817209227","-0.11950","599566","530000","3167","2.31"
"Collin County","2022-06-01","1560","-0.20770","1000650744","0.00220","641442","570000","2736","1.94"
"Collin County","2022-05-01","1485","-0.12390","958022539","0.11570","645133","579000","1808","1.25"
"Collin County","2022-04-01","1349","-0.12910","831867532","0.09230","616654","550000","1159","0.79"
"Collin County","2022-03-01","1300","-0.05520","789765692","0.24450","607512","540000","868","0.59"
"Collin County","2022-02-01","945","-0.09740","521400061","0.10690","551746","475000","736","0.49"
"Collin County","2022-01-01","919","-0.06800","489191507","0.18590","532308","465000","685","0.46"
"Collin County","2021-12-01","1380","-0.14390","714562026","0.05600","517798","460250","767","0.51"
"Collin County","2021-11-01","1335","-0.09680","668027944","0.08890","500395","450000","1103","0.73"
"Collin County","2021-10-01","1488","-0.17610","759658997","0.01040","510523","445000","1364","0.89"
"Collin County","2021-09-01","1621","-0.08780","812274841","0.12330","501094","434000","1597","1.02"
"Collin County","2021-08-01","1734","-0.09400","887881221","0.11180","512042","440000","1724","1.1"
"Collin County","2021-07-01","1836","-0.16920","928146266","0.01770","505526","450000","1967","1.24"
"Collin County","2021-06-01","1969","0.04120","998431820","0.33280","507075","440587","1614","1"
"Collin County","2021-05-01","1695","0.30690","858703515","0.69340","506609","436900","1500","0.93"
"Collin County","2021-04-01","1549","0.26860","761544781","0.61760","491636","414900","1468","0.93"
"Collin County","2021-03-01","1376","-0.03370","634586152","0.15330","461181","394500","1190","0.77"
"Collin County","2021-02-01","1047","-0.10740","471036716","0.08050","449891","375000","1080","0.69"
"Collin County","2021-01-01","986","0.03140","412489276","0.15320","418346","374450","1226","0.78"
"Collin County","2020-12-01","1612","0.11330","676642991","0.22730","419753","365000","1254","0.8"
"Collin County","2020-11-01","1478","0.30570","613484125","0.51000","415077","365000","1758","1.13"
"Collin County","2020-10-01","1806","0.34580","751876366","0.50850","416321","366850","2313","1.52"
"Collin County","2020-09-01","1777","0.28030","723087977","0.40160","406915","364440","2652","1.79"
"Collin County","2020-08-01","1914","0.17570","798622599","0.28280","417253","369375","2918","2.01"
"Collin County","2020-07-01","2210","0.25210","911986937","0.34560","412663","365000","3361","2.36"
"Collin County","2020-06-01","1891","0.10330","749125761","0.09600","396153","359144","3563","2.57"
"Collin County","2020-05-01","1297","-0.29280","507099735","-0.29340","390978","345000","3820","2.78"
"Collin County","2020-04-01","1221","-0.19780","470799527","-0.18780","385585","347500","3728","2.63"
"Collin County","2020-03-01","1424","0.06270","550242609","0.10520","386406","345000","3572","2.47"
"Collin County","2020-02-01","1173","0.14220","435924716","0.17000","371632","339000","3694","2.57"
"Collin County","2020-01-01","956","0.21940","357676870","0.30700","374138","335000","3520","2.47"
"Collin County","2019-12-01","1448","0.15380","551322934","0.20790","380747","340000","3459","2.45"
"Collin County","2019-11-01","1132","-0.02410","406294004","-0.07230","358916","327250","4226","3.03"
"Collin County","2019-10-01","1342","0.08930","498416177","0.06680","371398","330000","4709","3.37"
"Collin County","2019-09-01","1388","0.15860","515891871","0.18570","371680","329000","4811","3.47"
"Collin County","2019-08-01","1628","0.04430","622572161","0.07360","382415","340000","5119","3.73"
