"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Montgomery County","2024-12-01","1307","0.29020","533859810","0.34690","408461","312900","4469","3.64"
"Montgomery County","2024-11-01","1127","0.05230","450581249","0.07710","399805","301990","4800","3.99"
"Montgomery County","2024-10-01","1173","0.10350","485402794","0.15080","413813","327720","4921","4.1"
"Montgomery County","2024-09-01","1283","0.14860","524071754","0.15130","408473","310000","4820","4.05"
"Montgomery County","2024-08-01","1284","0.00630","544525332","-0.00740","424085","323500","4886","4.15"
"Montgomery County","2024-07-01","1304","0.05330","582726250","0.05290","446875","341190","4742","4.03"
"Montgomery County","2024-06-01","1391","-0.02660","614598349","-0.01580","441839","349990","4765","4.07"
"Montgomery County","2024-05-01","1409","-0.01400","618977508","0.00380","439302","337990","4578","3.9"
"Montgomery County","2024-04-01","1341","0.14420","576177996","0.15070","429662","329000","4177","3.56"
"Montgomery County","2024-03-01","1275","0.06160","517552699","0.05410","405923","320040","4103","3.53"
"Montgomery County","2024-02-01","1079","0.25170","409411262","0.21560","379435","312500","4001","3.47"
"Montgomery County","2024-01-01","768","0.16190","302118732","0.11520","393383","319945","3969","3.49"
"Montgomery County","2023-12-01","1013","-0.08240","396368900","-0.12250","391282","323350","3978","3.53"
"Montgomery County","2023-11-01","1071","0.09730","418345056","0.03780","390611","324072","4189","3.69"
"Montgomery County","2023-10-01","1063","-0.00750","421784008","-0.05690","396786","320000","4103","3.64"
"Montgomery County","2023-09-01","1117","-0.11630","455194604","-0.18620","407515","321740","4055","3.6"
"Montgomery County","2023-08-01","1276","-0.01470","548574080","-0.02020","429916","344084","3821","3.35"
"Montgomery County","2023-07-01","1238","0.00080","553461799","-0.00350","447061","347450","3709","3.25"
"Montgomery County","2023-06-01","1429","-0.06360","624458423","-0.08930","436989","340000","3711","3.25"
"Montgomery County","2023-05-01","1429","-0.04090","616620745","-0.07620","431505","348741","3316","2.88"
"Montgomery County","2023-04-01","1172","-0.08150","500698328","-0.11680","427217","334450","3278","2.84"
